15.08967,15.18255,03
15.62373,15.71661,05
16.13457,16.20423,03
16.66863,16.73829,0
16.76151,16.90083,5
17.20268,17.29556,1
17.29556,17.43489,3
17.75996,17.85284,15
18.2708,18.34046,1
18.34046,18.503,3
18.78164,18.87452,15
19.3157,19.40858,2
19.87298,19.96586,2
20.40704,20.49992,2
20.89466,21.01076,2
19.40858,21.24296,4
21.47516,21.54482,03
21.986,22.07887,15
22.52005,22.58971,03
22.77547,22.84513,14
23.05411,23.12377,25
23.63461,23.72749,03
24.14545,24.21511,05
24.67951,24.77239,03
25.16713,25.26001,0
25.26001,25.42255,5
25.67797,25.77085,1
25.81729,26.02627,3
26.28169,26.37457,1
26.81575,26.90863,134
27.39625,27.4659,154
27.88386,27.99996,234
28.44114,28.53402,254
28.95198,29.02164,2
29.04486,29.25384,34
29.48604,29.60214,245
30.04332,30.1362,053
30.27552,30.39162,0
30.6006,30.67026,14
30.8328,30.92568,1
31.11144,31.1811,2
31.22754,31.36686,35
31.39008,31.50618,2
31.62228,31.7616,2
32.15633,32.24921,05
32.48141,32.64396,3
32.6904,32.78328,0
32.78328,32.87616,4
33.03869,33.10835,5
33.17801,33.27089,2
33.29411,33.38699,4
33.57275,33.66563,34
33.75851,33.85139,2
34.26935,34.36223,0
34.40867,34.54799,3
34.64087,34.73375,4
34.78019,34.89629,0
34.89629,35.01239,5
35.15171,35.26781,4
35.33747,35.43035,2
35.45357,35.56967,3
35.70899,35.82509,4
35.84831,35.96441,52
36.40559,36.49847,0
36.52169,36.61457,4
36.77711,36.89321,3
36.93965,37.03253,0
37.03253,37.1254,4
37.33438,37.45049,31
37.58981,37.72913,45
38.00776,38.07742,24
38.44894,38.49538,4
38.56504,38.65792,04
38.70436,38.84368,5
38.93656,39.02944,4
39.07588,39.16876,1
39.2152,39.3313,3
39.42418,39.51706,4
39.63316,39.74926,25
39.77248,39.81892,3
40.144,40.23688,14
40.70128,40.79416,0
40.9567,41.04958,1
41.23534,41.32822,0
41.5372,41.60686,1
41.81584,41.90872,0
42.09447,42.16413,13
42.25702,42.39634,30
42.51244,42.67498,314
42.86073,42.97683,0
43.00005,43.23225,3
43.23225,43.44123,40
43.46445,43.65022,3
43.74309,43.81275,4
43.90563,43.99851,04
44.41647,44.50935,0
44.99697,45.06663,0
45.25239,45.32205,15
45.50781,45.62391,0
45.80967,45.90255,1
46.08831,46.18119,0
46.34373,46.43661,31
46.62237,46.71525,0
46.87779,46.94745,1
47.13321,47.22609,0
47.22609,47.43507,4
47.62083,47.71371,03
48.1781,48.27098,04
48.73538,48.80504,04
49.29266,49.38554,50
49.54808,49.64096,1
49.82672,49.9196,05
50.10536,50.17502,1
50.33756,50.45366,05
50.6162,50.70908,1
50.87162,50.98772,05
51.15026,51.24314,1
51.35924,51.49856,40
51.91652,52.0094,03
52.40414,52.49702,0
52.52024,52.82209,4
52.96141,53.05429,05
53.5187,53.61157,03
53.79733,53.89021,1
54.05275,54.16885,04
54.33139,54.40105,1
54.58681,54.70291,05
54.86545,54.95833,1
55.12087,55.23697,03
55.42273,55.51561,1
55.65493,55.74781,035
56.16577,56.25865,14
56.69983,56.76949,2
57.23389,57.34999,2
56.76949,57.65185,53
57.76794,57.86082,0
58.32523,58.46455,1
58.83606,58.92894,2
59.3469,59.43978,1
59.88096,59.97384,0
60.43824,60.53112,1
60.94908,61.04196,2
